Date,Price,Open,High,Low,Change %
07/15/2018,-0.633,-0.643,-0.617,-0.673,2.10%
07/08/2018,-0.620,-0.638,-0.614,-0.675,-5.20%
07/01/2018,-0.654,-0.650,-0.554,-0.657,11.04%
06/24/2018,-0.589,-0.650,-0.560,-0.661,4.80%
06/17/2018,-0.562,-0.632,-0.562,-0.655,-10.79%
06/10/2018,-0.630,-0.624,-0.615,-0.636,-0.47%
06/03/2018,-0.633,-0.619,-0.601,-0.651,2.93%
05/27/2018,-0.615,-0.609,-0.590,-0.657,0.16%
05/20/2018,-0.614,-0.614,-0.609,-0.635,-0.97%
05/13/2018,-0.620,-0.622,-0.599,-0.638,0.81%
05/06/2018,-0.615,-0.628,-0.608,-0.674,-3.30%
04/29/2018,-0.636,-0.695,-0.620,-0.703,-6.19%
04/22/2018,-0.678,-0.692,-0.669,-0.720,-1.02%
04/15/2018,-0.685,-0.693,-0.672,-0.708,-1.01%
04/08/2018,-0.692,-0.792,-0.679,-0.800,-11.73%
04/01/2018,-0.784,-0.780,-0.760,-0.795,-0.25%
03/25/2018,-0.786,-0.750,-0.742,-0.822,4.94%
03/18/2018,-0.749,-0.857,-0.719,-0.866,-6.02%
03/11/2018,-0.797,-0.800,-0.732,-0.848,8.58%
03/04/2018,-0.734,-0.812,-0.684,-0.857,5.61%
02/25/2018,-0.695,-0.705,-0.683,-0.860,-0.29%
02/18/2018,-0.697,-0.702,-0.677,-0.775,-0.71%
02/11/2018,-0.702,-0.722,-0.667,-0.846,1.30%
02/04/2018,-0.693,-0.706,-0.605,-0.868,0.87%
01/28/2018,-0.687,-0.701,-0.599,-0.781,-1.01%
01/21/2018,-0.694,-0.702,-0.680,-0.858,-1.84%
01/14/2018,-0.707,-0.702,-0.686,-0.835,-0.56%
01/07/2018,-0.711,-0.801,-0.650,-0.801,1.43%
12/31/2017,-0.701,-0.880,-0.690,-1.015,-12.70%
12/24/2017,-0.803,-1.000,-0.790,-1.007,-25.37%
12/17/2017,-1.076,-1.100,-1.049,-1.229,2.87%
12/10/2017,-1.046,-0.948,-0.800,-1.112,2.55%
12/03/2017,-1.020,-0.950,-0.800,-1.020,10.75%
11/26/2017,-0.921,-0.945,-0.675,-0.956,-6.40%
11/19/2017,-0.984,-0.909,-0.750,-0.984,8.25%
11/12/2017,-0.909,-0.806,-0.750,-0.909,2.83%
11/05/2017,-0.884,-0.832,-0.819,-0.909,6.51%
10/29/2017,-0.830,-0.840,-0.818,-0.847,-1.19%
10/22/2017,-0.840,-0.830,-0.762,-0.848,1.94%
10/15/2017,-0.824,-0.831,-0.812,-0.845,-0.12%
10/08/2017,-0.825,-0.809,-0.732,-0.873,0.12%
10/01/2017,-0.824,-0.744,-0.700,-0.886,12.88%
09/24/2017,-0.730,-0.639,-0.639,-0.775,-0.14%
09/17/2017,-0.731,-0.725,-0.709,-0.821,-0.41%
09/10/2017,-0.734,-0.761,-0.718,-0.769,-0.81%
09/03/2017,-0.740,-0.755,-0.700,-0.782,-1.20%
08/27/2017,-0.749,-0.744,-0.714,-0.757,0.40%
08/20/2017,-0.746,-0.752,-0.707,-0.769,4.92%
08/13/2017,-0.711,-0.744,-0.695,-0.799,-3.13%
08/06/2017,-0.734,-0.738,-0.670,-0.784,0.00%
07/30/2017,-0.734,-0.724,-0.680,-0.762,-0.41%
07/23/2017,-0.737,-0.758,-0.697,-0.761,0.41%
07/16/2017,-0.734,-0.764,-0.641,-0.774,-3.04%
07/09/2017,-0.757,-0.782,-0.659,-0.844,-5.96%
07/02/2017,-0.805,-0.754,-0.749,-0.838,4.82%
06/25/2017,-0.768,-0.870,-0.559,-0.890,-7.02%
06/18/2017,-0.826,-0.888,-0.826,-0.897,-5.82%
06/11/2017,-0.877,-0.914,-0.840,-0.991,-3.20%
06/04/2017,-0.906,-0.896,-0.871,-0.953,1.91%
05/28/2017,-0.889,-0.888,-0.842,-0.970,-1.98%
05/21/2017,-0.907,-0.948,-0.874,-0.956,-0.22%
05/14/2017,-0.909,-0.914,-0.882,-0.953,-0.66%
05/07/2017,-0.915,-0.886,-0.869,-0.965,1.44%
04/30/2017,-0.902,-0.862,-0.862,-0.934,-0.33%
04/23/2017,-0.905,-0.884,-0.821,-0.926,7.61%
04/16/2017,-0.841,-0.832,-0.818,-0.928,11.69%
04/09/2017,-0.753,-0.867,-0.715,-0.914,-12.75%
04/02/2017,-0.863,-0.967,-0.863,-1.029,-3.47%
03/26/2017,-0.894,-0.998,-0.848,-1.069,-7.07%
03/19/2017,-0.962,-0.963,-0.950,-1.022,-0.72%
03/12/2017,-0.969,-1.022,-0.915,-1.040,3.75%
03/05/2017,-0.934,-0.905,-0.889,-1.055,4.83%
02/26/2017,-0.891,-0.975,-0.883,-0.975,-5.01%
02/19/2017,-0.938,-0.843,-0.834,-0.993,12.74%
02/12/2017,-0.832,-0.820,-0.776,-0.845,4.92%
02/05/2017,-0.793,-0.787,-0.764,-0.849,2.19%
01/29/2017,-0.776,-0.840,-0.766,-0.849,-6.84%
01/22/2017,-0.833,-0.842,-0.825,-0.938,2.84%
01/15/2017,-0.810,-0.950,-0.801,-0.959,-11.09%
01/08/2017,-0.911,-0.980,-0.679,-0.984,34.17%
01/01/2017,-0.679,-0.968,-0.679,-0.979,-26.99%
12/25/2016,-0.930,-1.009,-0.900,-1.009,1.09%
12/18/2016,-0.920,-0.943,-0.906,-0.964,0.44%
12/11/2016,-0.916,-0.843,-0.843,-0.979,0.77%
12/04/2016,-0.909,-0.810,-0.810,-1.527,6.44%
11/27/2016,-0.854,-0.724,-0.687,-0.864,10.34%
11/20/2016,-0.774,-0.663,-0.660,-0.802,1.44%
11/13/2016,-0.763,-0.671,-0.549,-0.799,0.26%
11/06/2016,-0.761,-0.815,-0.572,-0.817,2.28%
10/30/2016,-0.744,-0.708,-0.601,-0.791,-0.53%
10/23/2016,-0.748,-0.853,-0.708,-0.865,-12.41%
