Date,Price,Open,High,Low,Change %,DPB
02/19/2017,0.1820,0.3180,0.3330,0.1770,-39.74%,-8.85141
02-12-2017,0.3020,0.3280,0.3940,0.2920,-3.82%,-6.43614
02-05-2017,0.3140,0.4140,0.4230,0.2890,-23.79%,-1.24751
01/29/2017,0.4120,0.4630,0.4960,0.4060,-11.02%,-1.24751
01/22/2017,0.4630,0.3930,0.5030,0.3570,9.46%,8.60818
01/15/2017,0.4230,0.3060,0.4310,0.2720,24.41%,8.21423
01-08-2017,0.3400,0.2990,0.3570,0.2380,13.71%,9.74222
01-01-2017,0.2990,0.1980,0.3080,0.1520,43.75%,-5.63608
12/25/2016,0.2080,0.2290,0.2330,0.1630,-6.31%,-5.63608
12/18/2016,0.2220,0.3270,0.3360,0.2150,-29.52%,-6.91452
12-11-2016,0.3150,0.3820,0.4220,0.2940,-13.93%,4.66263
12-04-2016,0.3660,0.2530,0.4530,0.2520,30.71%,0.421299999999998
11/27/2016,0.2800,0.2400,0.3710,0.1840,16.18%,0.421299999999998
11/20/2016,0.2410,0.2760,0.3110,0.2080,-11.40%,-3.55748
11/13/2016,0.2720,0.3490,0.3970,0.2540,-11.97%,5.18305
11-06-2016,0.3090,0.1350,0.3450,0.0930,128.89%,-1.72111
10/30/2016,0.1350,0.1650,0.2060,0.1130,-19.64%,-1.72111
10/23/2016,0.1680,0.0090,0.2190,-0.0200,4,100.00%
10/16/2016,0.0040,0.0670,0.1030,-0.0050,-93.22%,-3.8677
10-09-2016,0.0590,0.0120,0.0750,0.0010,180.95%,15.27624
10-02-2016,0.0210,-0.1170,0.0310,-0.1250,-117.50%,-2.51066
09/25/2016,-0.1200,-0.0850,-0.0810,-0.1610,48.15%,-2.51066
09/18/2016,-0.0810,0.0070,0.0250,-0.0950,-1,257.14%
09-11-2016,0.0070,0.0220,0.0810,-0.0240,-41.67%,4.89385
09-04-2016,0.0120,-0.0490,0.0210,-0.1270,-128.57%,8.02475
08/28/2016,-0.0420,-0.0390,-0.0300,-0.1010,-40.85%,8.02475
08/21/2016,-0.0710,-0.0400,-0.0400,-0.1030,108.82%,-1.86312
08/14/2016,-0.0340,-0.1090,-0.0250,-0.1100,-68.22%,4.28885
08-07-2016,-0.1070,-0.0580,-0.0360,-0.1210,59.70%,0.94715
07/31/2016,-0.0670,-0.1110,-0.0170,-0.1160,-44.17%,0.94715
07/24/2016,-0.1200,-0.0190,-0.0040,-0.1220,313.79%,-8.92428
07/17/2016,-0.0290,-0.0150,0.0300,-0.0520,-514.29%,0.457860000000003
07-10-2016,0.0070,-0.1900,0.0120,-0.1990,-103.80%,-6.25119
07-03-2016,-0.1840,-0.1250,-0.1060,-0.2040,41.43%,-16.9822
06/26/2016,-0.1301,-0.0750,-0.0630,-0.1460,151.64%,-16.9822
06/19/2016,-0.0517,0.0430,0.1160,-0.1700,-358.50%,-3.30234999999999
06-12-2016,0.0200,0.0140,0.0370,-0.0380,-4.76%,-5.90919
06-05-2016,0.0210,0.0700,0.0930,0.0100,-71.62%,-6.77286
05/29/2016,0.0740,0.1510,0.1920,0.0650,-48.25%,-6.77286
05/22/2016,0.1430,0.1700,0.2060,0.1200,-16.37%,-4.09334
05/15/2016,0.1710,0.1230,0.2100,0.1190,32.56%,4.02047
05-08-2016,0.1290,0.1670,0.1700,0.0990,-11.64%,-8.96194
05-01-2016,0.1460,0.2720,0.2840,0.1410,-48.23%,2.54677
04/24/2016,0.2820,0.2240,0.3060,0.2120,21.55%,2.54677
04/17/2016,0.2320,0.1270,0.2420,0.1140,74.44%,10.96104
04-10-2016,0.1330,0.0910,0.1820,0.0750,37.11%,-0.221309999999996
